ipc_class_level	ancestor	parent	ipc_version
A01D  75/04	A01D75/00	A	2017.01
A01D  75/06	A01D75/00	A	2017.01
A01D  75/08	A01D75/00	A	2017.01
A01D  75/10	A01D75/00	A	2017.01
A01D  75/12	A01D75/00	A	2017.01
A01D  75/16	A01D75/00	A	2017.01
A01D  75/18	A01D75/00	A	2017.01
A01D  75/20	A01D75/00	A	2017.01
A01D  75/24	A01D75/00	A	2017.01
A01D  75/26	A01D75/00	A	2017.01
A01D  75/28	A01D75/00	A	2017.01
A01D  75/30	A01D75/00	A	2017.01
A01D  76/00	A01D	A	2017.01
A01D  78/00	A01D	A	2017.01
A01D  78/02	A01D78/00	A	2017.01
A01D  78/04	A01D78/02	A	2017.01
A01D  78/06	A01D78/00	A	2017.01
A01D  78/08	A01D78/00	A	2017.01
A01D  78/10	A01D78/08	A	2017.01
A01D  78/12	A01D78/10	A	2017.01
A01D  78/14	A01D78/08	A	2017.01
A01D  78/16	A01D78/14	A	2017.01
A01D  78/18	A01D78/00	A	2017.01
A01D  78/20	A01D78/18	A	2017.01
A01D  80/00	A01D	A	2017.01
A01D  80/02	A01D80/00	A	2017.01
A01D  82/00	A01D	A	2017.01
A01D  82/02	A01D82/00	A	2017.01
A01D  84/00	A01D	A	2017.01
A01D  84/02	A01D84/00	A	2017.01
A01D  85/00	A01D	A	2017.01
A01D  87/00	A01D	A	2017.01
A01D  87/02	A01D87/00	A	2017.01
A01D  87/04	A01D87/02	A	2017.01
A01D  87/06	A01D87/00	A	2017.01
A01D  87/08	A01D87/00	A	2017.01
A01D  87/10	A01D87/00	A	2017.01
A01D  87/12	A01D87/00	A	2017.01
A01D  89/00	A01D	A	2017.01
A01D  90/00	A01D	A	2017.01
A01D  90/02	A01D90/00	A	2017.01
A01D  90/04	A01D90/02	A	2017.01
A01D  90/06	A01D90/04	A	2017.01
A01D  90/08	A01D90/02	A	2017.01
A01D  90/10	A01D90/00	A	2017.01
A01D  90/12	A01D90/00	A	2017.01
A01D  90/14	A01D90/00	A	2017.01
A01D  90/16	A01D90/00	A	2017.01
A01D  91/00	A01D	A	2017.01
A01D  91/02	A01D91/00	A	2017.01
A01D  91/04	A01D91/00	A	2017.01
A01D  93/00	A01D	A	2017.01
A01D 101/00	A01D	A	2017.01
A01F	A01F	A	2017.01
A01F   1/00	A01F	A	2017.01
A01F   1/02	A01F1/00	A	2017.01
A01F   1/04	A01F1/00	A	2017.01
A01F   1/06	A01F1/00	A	2017.01
A01F   3/00	A01F	A	2017.01
A01F   5/00	A01F	A	2017.01
A01F   7/00	A01F	A	2017.01
A01F   7/02	A01F7/00	A	2017.01
A01F   7/04	A01F7/02	A	2017.01
A01F   7/06	A01F7/02	A	2017.01
A01F   7/70	A01F7/00	A	2017.01
A01F   9/00			2017.01
A01F  11/00	A01F	A	2017.01
A01F  11/02	A01F11/00	A	2017.01
A01F  11/04	A01F11/00	A	2017.01
A01F  11/06	A01F11/00	A	2017.01
A01F  11/08	A01F11/00	A	2017.01
A01F  12/00	A01F	A	2017.01
A01F  12/10	A01F12/00	A	2017.01
A01F  12/12	A01F12/10	A	2017.01
A01F  12/14	A01F12/10	A	2017.01
A01F  12/16	A01F12/10	A	2017.01
A01F  12/18	A01F12/00	A	2017.01
A01F  12/20	A01F12/18	A	2017.01
A01F  12/22	A01F12/18	A	2017.01
A01F  12/24	A01F12/18	A	2017.01
A01F  12/26	A01F12/18	A	2017.01
A01F  12/28	A01F12/18	A	2017.01
A01F  12/30	A01F12/00	A	2017.01
A01F  12/32	A01F12/30	A	2017.01
A01F  12/34	A01F12/32	A	2017.01
A01F  12/36	A01F12/34	A	2017.01
A01F  12/38	A01F12/30	A	2017.01
A01F  12/385	A01F12/30	A	2017.01
A01F  12/39	A01F12/30	A	2017.01
A01F  12/395	A01F12/30	A	2017.01
A01F  12/40	A01F12/00	A	2017.01
A01F  12/42	A01F12/00	A	2017.01
A01F  12/44	A01F12/00	A	2017.01
A01F  12/46	A01F12/00	A	2017.01
A01F  12/48	A01F12/00	A	2017.01
A01F  12/50	A01F12/00	A	2017.01
A01F  12/52	A01F12/00	A	2017.01
