ipc_class_symbol,last_ipc_version,NbAppln
"A01F  12/12",2006-01-01,309
"A01F  12/14",2006-01-01,211
"A01F  12/16",2006-01-01,955
"A01F  12/18",2006-01-01,4802
"A01F  12/20",2006-01-01,763
"A01F  12/22",2006-01-01,1459
"A01F  12/24",2006-01-01,1546
"A01F  12/26",2006-01-01,348
"A01F  12/28",2006-01-01,554
"A01F  12/30",2006-01-01,1528
"A01F  12/32",2006-01-01,3688
"A01F  12/34",2006-01-01,227
"A01F  12/36",2006-01-01,79
"A01F  12/38",2006-01-01,135
"A01F  12/385",2006-01-01,53
"A01F  12/39",2006-01-01,251
"A01F  12/395",2006-01-01,23
"A01F  12/40",2006-01-01,5499
"A01F  12/42",2006-01-01,238
"A01F  12/44",2006-01-01,7276
"A01F  12/46",2006-01-01,7577
"A01F  12/48",2006-01-01,1260
"A01F  12/50",2006-01-01,3463
"A01F  12/52",2006-01-01,2308
"A01F  12/54",2006-01-01,2638
"A01F  12/56",2006-01-01,1934
"A01F  12/58",2006-01-01,305
"A01F  12/60",2006-01-01,2776
"A01F  13/00",2006-01-01,93
"A01F  15/00",2006-01-01,1878
"A01F  15/02",2006-01-01,496
"A01F  15/04",2006-01-01,1150
"A01F  15/06",2006-01-01,46
"A01F  15/07",2006-01-01,3782
"A01F  15/08",2006-01-01,3313
"A01F  15/10",2006-01-01,1948
"A01F  15/12",2006-01-01,478
"A01F  15/14",2006-01-01,2032
"A01F  15/16",2006-01-01,49
"A01F  15/18",2006-01-01,192
"A01F  17/00",2006-01-01,786
"A01F  17/02",2006-01-01,2641
"A01F  17/04",2006-01-01,67
"A01F  19/00",2006-01-01,49
"A01F  21/00",2006-01-01,354
"A01F  25/00",2010-01-01,5611
"A01F  25/02",2006-01-01,296
"A01F  25/04",2006-01-01,363
"A01F  25/08",2006-01-01,1053
"A01F  25/10",2006-01-01,125
"A01F  25/12",2006-01-01,707
"A01F  25/13",2006-01-01,616
"A01F  25/14",2006-01-01,2915
"A01F  25/16",2006-01-01,1516
"A01F  25/18",2006-01-01,649
"A01F  25/20",2006-01-01,3135
"A01F  25/22",2006-01-01,402
"A01F  29/00",2006-01-01,4116
"A01F  29/01",2006-01-01,229
"A01F  29/02",2006-01-01,1420
"A01F  29/04",2006-01-01,986
"A01F  29/06",2006-01-01,1011
"A01F  29/08",2006-01-01,210
"A01F  29/09",2010-01-01,1493
"A01F  29/10",2006-01-01,1525
"A01F  29/12",2006-01-01,926
"A01F  29/14",2006-01-01,660
"A01F  29/16",2006-01-01,437
"A01F  29/18",2006-01-01,106
"A01F  29/22",2006-01-01,277
"A01G   1/00",2010-01-01,26490
"A01G   1/02",2006-01-01,320
"A01G   1/04",2006-01-01,12466
"A01G   1/06",2006-01-01,3328
"A01G   1/08",2006-01-01,2106
"A01G   1/12",2006-01-01,2869
"A01G   3/00",2010-01-01,2615
"A01G   3/02",2006-01-01,3265
"A01G   3/025",2006-01-01,1298
"A01G   3/033",2006-01-01,1039
"A01G   3/037",2006-01-01,419
"A01G   3/04",2006-01-01,2418
"A01G   3/047",2006-01-01,426
"A01G   3/053",2006-01-01,1609
"A01G   3/06",2006-01-01,2475
"A01G   3/08",2006-01-01,3338
"A01G   5/00",2006-01-01,1119
"A01G   5/02",2006-01-01,593
"A01G   5/04",2006-01-01,2333
"A01G   5/06",2006-01-01,1556
"A01G   7/00",2010-01-01,14981
"A01G   7/02",2006-01-01,1130
"A01G   7/04",2006-01-01,2614
"A01G   7/06",2006-01-01,6657
"A01G   9/00",2010-01-01,10319
"A01G   9/02",2006-01-01,30421
"A01G   9/04",2006-01-01,1721
"A01G   9/06",2006-01-01,2610
"A01G   9/08",2006-01-01,2927
"A01G   9/10",2006-01-01,11753
"A01G   9/12",2006-01-01,5997
"A01G   9/14",2006-01-01,17546
"A01G   9/16",2006-01-01,2402
"A01G   9/18",2006-01-01,977
"A01G   9/20",2006-01-01,3068
"A01G   9/22",2006-01-01,3441
"A01G   9/24",2006-01-01,14093
"A01G   9/26",2006-01-01,1659
"A01G  11/00",2006-01-01,688
"A01G  13/00",2009-01-01,9296
"A01G  13/02",2006-01-01,14955
"A01G  13/04",2006-01-01,2121
"A01G  13/06",2006-01-01,1595
"A01G  13/08",2006-01-01,324
"A01G  13/10",2006-01-01,2806
"A01G  15/00",2009-01-01,1800
"A01G  16/00",2006-01-01,1420
"A01G  17/00",2010-01-01,2564
"A01G  17/02",2006-01-01,1230
"A01G  17/04",2006-01-01,1025
"A01G  17/06",2006-01-01,1268
"A01G  17/08",2006-01-01,1487
"A01G  17/10",2006-01-01,900
"A01G  17/12",2006-01-01,495
"A01G  17/14",2006-01-01,1769
"A01G  17/16",2006-01-01,371
"A01G  17/18",2006-01-01,139
"A01G  23/00",2010-01-01,5061
"A01G  23/02",2006-01-01,1160
"A01G  23/04",2006-01-01,3018
"A01G  23/06",2006-01-01,2661
"A01G  23/08",2006-01-01,3555
"A01G  23/081",2006-01-01,373
"A01G  23/083",2006-01-01,709
"A01G  23/085",2006-01-01,249
"A01G  23/087",2006-01-01,306
"A01G  23/089",2006-01-01,267
